Indicador,Entidad,Year,Numhab
Less than 14 years,Nacional,1990,31146504
Less than 14 years,Aguascalientes,1990,291142
Less than 14 years,Baja California,1990,568562
Less than 14 years,Baja California Sur,1990,115785
Less than 14 years,Campeche,1990,211582
Less than 14 years,Coahuila de Zaragoza,1990,717858
Less than 14 years,Colima,1990,162290
Less than 14 years,Chiapas,1990,1420117
Less than 14 years,Chihuahua,1990,858761
Less than 14 years,Distrito Federal,1990,2508999
Less than 14 years,Durango,1990,550097
Less than 14 years,Guanajuato,1990,1642778
Less than 14 years,Guerrero,1990,1119169
Less than 14 years,Hidalgo,1990,775435
Less than 14 years,Jalisco,1990,2048779
Less than 14 years,Mexico,1990,3762352
Less than 14 years,Michoacan de Ocampo,1990,1456813
Less than 14 years,Morelos,1990,448482
Less than 14 years,Nayarit,1990,325500
Less than 14 years,Nuevo Leon,1990,1051536
Less than 14 years,Oaxaca,1990,1285838
Less than 14 years,Puebla,1990,1703877
Less than 14 years,Queretaro,1990,436185
Less than 14 years,Quintana Roo,1990,195946
Less than 14 years,San Luis Potosi,1990,820115
Less than 14 years,Sinaloa,1990,846691
Less than 14 years,Sonora,1990,652577
Less than 14 years,Tabasco,1990,630812
Less than 14 years,Tamaulipas,1990,785909
Less than 14 years,Tlaxcala,1990,310062
Less than 14 years,Veracruz de Ignacio de la Llave,1990,2394991
Less than 14 years,Yucatan,1990,513863
Less than 14 years,Zacatecas,1990,533601
Between 15 and 59 years,Nacional,1990,44622718
Between 15 and 59 years,Aguascalientes,1990,384125
Between 15 and 59 years,Baja California,1990,972668
Between 15 and 59 years,Baja California Sur,1990,182376
Between 15 and 59 years,Campeche,1990,285264
Between 15 and 59 years,Coahuila de Zaragoza,1990,1122856
Between 15 and 59 years,Colima,1990,234261
Between 15 and 59 years,Chiapas,1990,1628186
Between 15 and 59 years,Chihuahua,1990,1401039
Between 15 and 59 years,Distrito Federal,1990,5110848
Between 15 and 59 years,Durango,1990,710475
Between 15 and 59 years,Guanajuato,1990,2047113
Between 15 and 59 years,Guerrero,1990,1312141
Between 15 and 59 years,Hidalgo,1990,978759
Between 15 and 59 years,Jalisco,1990,2845128
Between 15 and 59 years,Mexico,1990,5580261
Between 15 and 59 years,Michoacan de Ocampo,1990,1806421
Between 15 and 59 years,Morelos,1990,664531
Between 15 and 59 years,Nayarit,1990,431517
Between 15 and 59 years,Nuevo Leon,1990,1843087
Between 15 and 59 years,Oaxaca,1990,1515545
Between 15 and 59 years,Puebla,1990,2139979
Between 15 and 59 years,Queretaro,1990,551764
Between 15 and 59 years,Quintana Roo,1990,272118
Between 15 and 59 years,San Luis Potosi,1990,1037889
Between 15 and 59 years,Sinaloa,1990,1214983
Between 15 and 59 years,Sonora,1990,1047087
Between 15 and 59 years,Tabasco,1990,795464
Between 15 and 59 years,Tamaulipas,1990,1299678
Between 15 and 59 years,Tlaxcala,1990,400072
Between 15 and 59 years,Veracruz de Ignacio de la Llave,1990,3420190
Between 15 and 59 years,Yucatan,1990,738592
